Timestamp,DefectType,Confidence,Temperature,Distance,LineNumber,PoleNumber,AmbientTemperature,WeatherConditions,InspectorName
2025-10-26 08:07:15,2-2B-Hummer Driven Wedge Joint-COVERED,0.9687315821647644,39.1 °C,,,,,,
2025-10-26 08:07:15,2-2B-Hummer Driven Wedge Joint-COVERED,0.9687315821647644,39.1 °C,,,,,,
2025-10-26 08:07:15,2-2B-Hummer Driven Wedge Joint-COVERED,0.9687315821647644,39.1 °C,,,,,,
2025-10-26 08:07:15,2-2B-Hummer Driven Wedge Joint-COVERED,0.9309107661247253,41.1 °C,,,,,,
2025-10-26 08:07:15,2-2B-Hummer Driven Wedge Joint-COVERED,0.42436474561691284,45.3 °C,,,,,,
2025-10-26 08:07:15,2-2B-Hummer Driven Wedge Joint-COVERED,0.9309107661247253,41.1 °C,,,,,,
2025-10-26 08:07:15,2-2B-Hummer Driven Wedge Joint-COVERED,0.42436474561691284,45.3 °C,,,,,,
2025-10-26 08:07:15,2-2B-Hummer Driven Wedge Joint-COVERED,0.9309107661247253,41.1 °C,,,,,,
2025-10-26 08:07:15,2-2B-Hummer Driven Wedge Joint-COVERED,0.42436474561691284,45.3 °C,,,,,,
2025-10-26 08:07:16,2-2B-Hummer Driven Wedge Joint-COVERED,0.927688479423523,43.0 °C,,,,,,
2025-10-26 08:07:16,2-2B-Hummer Driven Wedge Joint-COVERED,0.6917662024497986,36.7 °C,,,,,,
2025-10-26 08:07:16,2-2B-Hummer Driven Wedge Joint-COVERED,0.927688479423523,43.0 °C,,,,,,
2025-10-26 08:07:16,2-2B-Hummer Driven Wedge Joint-COVERED,0.6917662024497986,36.7 °C,,,,,,
2025-10-26 08:07:16,2-2B-Hummer Driven Wedge Joint-COVERED,0.927688479423523,43.0 °C,,,,,,
2025-10-26 08:07:16,2-2B-Hummer Driven Wedge Joint-COVERED,0.6917662024497986,36.7 °C,,,,,,
2025-10-26 08:07:16,2-2B-Hummer Driven Wedge Joint-COVERED,0.9648001194000244,33.7 °C,,,,,,
2025-10-26 08:07:16,2-2B-Hummer Driven Wedge Joint-COVERED,0.9648001194000244,33.7 °C,,,,,,
2025-10-26 08:07:16,2-2B-Hummer Driven Wedge Joint-COVERED,0.9648001194000244,33.7 °C,,,,,,
2025-10-26 08:07:16,2-2B-Hummer Driven Wedge Joint-COVERED,0.9546557664871216,30.6 °C,,,,,,
2025-10-26 08:07:16,2-2B-Hummer Driven Wedge Joint-COVERED,0.9546557664871216,30.6 °C,,,,,,
2025-10-26 08:07:16,2-2B-Hummer Driven Wedge Joint-COVERED,0.9546557664871216,30.6 °C,,,,,,
2025-10-26 08:07:17,2-2B-Hummer Driven Wedge Joint-COVERED,0.964788019657135,37.6 °C,,,,,,
2025-10-26 08:07:17,2-2B-Hummer Driven Wedge Joint-COVERED,0.964788019657135,37.6 °C,,,,,,
2025-10-26 08:07:17,2-2B-Hummer Driven Wedge Joint-COVERED,0.964788019657135,37.6 °C,,,,,,
2025-10-26 08:07:17,2-2B-Hummer Driven Wedge Joint-COVERED,0.9695902466773987,33.9 °C,,,,,,
2025-10-26 08:07:17,2-2B-Hummer Driven Wedge Joint-COVERED,0.9695902466773987,33.9 °C,,,,,,
2025-10-26 08:07:17,2-2B-Hummer Driven Wedge Joint-COVERED,0.9695902466773987,33.9 °C,,,,,,
2025-10-26 08:07:17,2-2B-Hummer Driven Wedge Joint-COVERED,0.5807956457138062,40.1 °C,,,,,,
